"name","categoryId","categoryName"
"Iran Soft PR23L","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR23J","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR23I","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR23H","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR23E","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR23D","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR23B","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR23A","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR22M","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR22K","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR22J","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR22I","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR22H","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR22G","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR22E","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR22D","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR22B","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR22A","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21Z","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21Y","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21P","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21M","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21L","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21J","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21I","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21H","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21E","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21D","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21B","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR21A","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR20Z","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR20W","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR20V","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR20P","cmmlge0b600029gu54bgm2hfl","Premium"
"Etalon F413Y","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F413H","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F412I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F411I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F410I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F409K","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F409I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F409A","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F408I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F408H","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F408G","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F408E","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F408A","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F407I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F407G","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F407F","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F407E","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F407C","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F407A","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F406K","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F406I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F406G","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F406F","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F406E","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F406C","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F406A","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F405Y","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F405H","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F404I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F404G","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F404F","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F404E","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F404C","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F404A","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F403F","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F403E","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F403C","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F403A","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F402X","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F402I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F402H","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F402G","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F402E","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F402C","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F401I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F401H","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F401G","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F401F","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F401E","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F401C","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F284I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F284G","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F284F","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F284E","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F284C","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F284A","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F283I","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F283G","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F283F","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F283E","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F283C","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
"Etalon F283A","cmmlge0ao00009gu5yorrka3d","Neo Clasica"
